species,age,sex,mean.headbill,SD.headbill,n.headbill ,mean.billdepth,SD.billdepth,n.billdepth,mean.billlength,SD.billlength,n.billlength,mean.winglength,SD.winglength,n.winglength,mean.weight,SD.weight,n.weight,mean.tail,SD.tail,n.tail,mean.tarsus,SD.tarsus,n.tarsus,reference
GX,adult,female,,,,,,,97.4,3.1,22,485,12.8,23,,,,220,9.16,16,60.3,1.61,22,"Cramp, 1985. The Birds of the Western Palearctic. Vol. I. Oxford University Press, Oxford."
GX,non-adult,male,,,,,,,93.9,2.92,19,474,15.1,18,,,,,,,,,,"Cramp, 1985. The Birds of the Western Palearctic. Vol. I. Oxford University Press, Oxford."
GX,non-adult,female,,,,,,,96,2.07,12,479,16.6,12,,,,,,,,,,"Cramp, 1985. The Birds of the Western Palearctic. Vol. I. Oxford University Press, Oxford."
GB,adult,male,,,,25.5,1.1,131,,,,497,16.6,96,1791,155,127,,,,,,,"Coulson, 1984. Origin and behaviour of Great Black-backed Gulls wintering in northeast England"
GB,adult,female,,,,23.1,1,174,,,,477,14,101,1472,119,174,,,,,,,"Coulson, 1984. Origin and behaviour of Great Black-backed Gulls wintering in northeast England"
GB,adult,male,,,,,,,,,,509.8,2.2,5,1753,127,5,,,,78.2,2.8,5,"Boreman, 2019. High foraging site fidelity and spatial segregation among individual great black-backed gulls"
GB,adult,female,,,,,,,,,,480.5,5,2,1474,19,2,,,,74,1.7,2,"Boreman, 2019. High foraging site fidelity and spatial segregation among individual great black-backed gulls"
GB,adult,male,,,,,,,,,,499,9.2,95,1713,156.8,106,194,6.3,95,78,2.7,100,"Harris, 1969a. Measurements and weights of Great Black-backed Gulls"
GB,adult,female,,,,,,,,,,477.6,8.8,108,1486,142.7,130,185,8.3,111,73,2.6,111,"Harris, 1969a. Measurements and weights of Great Black-backed Gulls"
GB,non-adult,male,,,,,,,,,,497,,2,1596,,1,166,,1,79,,2,"Harris, 1969a. Measurements and weights of Great Black-backed Gulls"
GB,non-adult,female,,,,,,,,,,475,,1,1587,,1,179,,1,76,,1,"Harris, 1969a. Measurements and weights of Great Black-backed Gulls"
GB,non-adult,female,,,,,,,,,,,,,1700,,1,179,,1,75,,4,"Harris, 1969a. Measurements and weights of Great Black-backed Gulls"
GB,non-adult,male,,,,,,,,,,503,,3,1856,,3,196,,2,80,,4,"Harris, 1969a. Measurements and weights of Great Black-backed Gulls"
GB,non-adult,female,,,,,,,,,,,,,1366,,3,,,,,,,"Harris, 1969a. Measurements and weights of Great Black-backed Gulls"
GB,adult,male,,,,,,,64.3,3,10,505,11,9,,,,195,5.4,8,80.3,2,10,"Cramp, 1985. The Birds of the Western Palearctic. Vol. III. Oxford University Press, Oxford."
GB,adult,female,,,,,,,55.8,3.9,8,472,10.9,8,,,,181,4,7,71.6,2.7,8,"Cramp, 1985. The Birds of the Western Palearctic. Vol. III. Oxford University Press, Oxford."
HG,adult,male,124.2,3.4,261,19.7,0.9,261,54.1,2.2,261,433.4,10.4,261,1044,66.6,261,,,,,,,"Coulson, 1983. The use of head and bill length to sex live gulls Laridae"
HG,adult,female,113.3,2.8,219,17.8,0.6,219,49.5,2,219,413.8,9.2,219,870,67.6,219,,,,,,,"Coulson, 1983. The use of head and bill length to sex live gulls Laridae"
HG,adult,male,126,2.6,11,19.6,0.7,11,,,,433.4,7.5,11,1054,89,11,,,,,,,"Monaghan, 1982. The geographical variation of the Herring gull Lams argentatus within Britain and in northern Europe; a biometrical approach"
HG,adult,female,115.4,2.7,10,17.7,0.6,10,,,,419.2,7.9,10,875,27,10,,,,,,,"Monaghan, 1982. The geographical variation of the Herring gull Lams argentatus within Britain and in northern Europe; a biometrical approach"
HG,adult,male,124.7,2.3,202,19.7,0.7,202,,,,434.6,7.7,202,1031,67,202,,,,,,,"Monaghan, 1982. The geographical variation of the Herring gull Lams argentatus within Britain and in northern Europe; a biometrical approach"
HG,adult,female,113.9,3.6,188,17.7,0.8,188,,,,415.8,9.7,188,857,81,188,,,,,,,"Monaghan, 1982. The geographical variation of the Herring gull Lams argentatus within Britain and in northern Europe; a biometrical approach"
HG,adult,male,124.9,4.1,356,19.7,0.8,974,,,,429,11.3,801,1040,79,801,,,,,,,"Monaghan, 1982. The geographical variation of the Herring gull Lams argentatus within Britain and in northern Europe; a biometrical approach"
HG,adult,female,113.9,3.4,396,17.6,0.7,903,,,,410,10.5,696,861,76,696,,,,,,,"Monaghan, 1982. The geographical variation of the Herring gull Lams argentatus within Britain and in northern Europe; a biometrical approach"
HG,adult,male,121.6,3,199,19.1,0.6,199,,,,430.6,7.4,198,1005,68,199,,,,,,,"Monaghan, 1982. The geographical variation of the Herring gull Lams argentatus within Britain and in northern Europe; a biometrical approach"
HG,adult,female,112.3,4.4,298,17.3,0.7,302,,,,411.1,9.8,301,840,85,302,,,,,,,"Monaghan, 1982. The geographical variation of the Herring gull Lams argentatus within Britain and in northern Europe; a biometrical approach"
HG,adult,male,125.1,3.7,92,19.4,0.8,216,,,,430.2,11.1,216,1079,84,216,,,,,,,"Monaghan, 1982. The geographical variation of the Herring gull Lams argentatus within Britain and in northern Europe; a biometrical approach"
HG,adult,female,114.5,3.1,84,17.6,0.6,172,,,,412,9.6,172,898,75,171,,,,,,,"Monaghan, 1982. The geographical variation of the Herring gull Lams argentatus within Britain and in northern Europe; a biometrical approach"
HG,adult,male,,,,19,0.9,27,,,,429,10.2,27,1023,60,27,,,,,,,"Monaghan, 1982. The geographical variation of the Herring gull Lams argentatus within Britain and in northern Europe; a biometrical approach"
HG,adult,female,,,,17.6,0.6,32,,,,409,10.1,32,891,99,32,,,,,,,"Monaghan, 1982. The geographical variation of the Herring gull Lams argentatus within Britain and in northern Europe; a biometrical approach"
HG,adult,male,123.7,4.4,27,19.4,0.7,77,,,,427.7,7.7,77,1029,68,77,,,,,,,"Monaghan, 1982. The geographical variation of the Herring gull Lams argentatus within Britain and in northern Europe; a biometrical approach"
HG,adult,female,112.3,2.9,28,17.6,0.5,66,,,,405.3,7,66,834,61,67,,,,,,,"Monaghan, 1982. The geographical variation of the Herring gull Lams argentatus within Britain and in northern Europe; a biometrical approach"
HG,adult,male,123.7,2.5,33,19.2,0.8,33,,,,427.1,8.3,33,926,63,33,,,,,,,"Monaghan, 1982. The geographical variation of the Herring gull Lams argentatus within Britain and in northern Europe; a biometrical approach"
HG,adult,female,112.4,3.2,71,17.3,0.7,71,,,,404.9,9.1,71,772,66,71,,,,,,,"Monaghan, 1982. The geographical variation of the Herring gull Lams argentatus within Britain and in northern Europe; a biometrical approach"
HG,adult,male,126.9,4,92,19.7,0.8,90,,,,432,8.2,94,1085,80,94,,,,,,,"Monaghan, 1982. The geographical variation of the Herring gull Lams argentatus within Britain and in northern Europe; a biometrical approach"
HG,adult,female,116.2,3.8,107,17.9,0.7,120,,,,412.6,8.5,123,897,73,123,,,,,,,"Monaghan, 1982. The geographical variation of the Herring gull Lams argentatus within Britain and in northern Europe; a biometrical approach"
HG,adult,male,,,,19,0.6,148,54.6,3,148,426,9.1,129,977,68,36,172,9.8,36,63,3,126,"Harris, 1969. Sexual differences in measurements of Herring and Lesser Blacked Gulls"
HG,adult,female,,,,17.1,0.9,130,50,2.5,130,406,9.4,116,813,69,32,165,9.6,29,58,2.6,112,"Harris, 1969. Sexual differences in measurements of Herring and Lesser Blacked Gulls"
HG,non-adult,male,,,,18.6,1,14,53.1,2.2,13,426,9.7,14,1041,,5,170,,4,65,5,13,"Harris, 1969. Sexual differences in measurements of Herring and Lesser Blacked Gulls"
HG,non-adult,female,,,,16.2,,3,50,2.6,5,411,13.4,5,,,,150,,1,60,,3,"Harris, 1969. Sexual differences in measurements of Herring and Lesser Blacked Gulls"
HG,non-adult,male,,,,17.6,0.8,12,55.2,2.8,10,416,7,13,898,,2,166,,2,62,3.1,14,"Harris, 1969. Sexual differences in measurements of Herring and Lesser Blacked Gulls"
HG,non-adult,female,,,,16.3,1.1,5,49.2,4.3,6,395,15.2,8,815,,2,,,,60,3.3,6,"Harris, 1969. Sexual differences in measurements of Herring and Lesser Blacked Gulls"
HG,adult,male,,,,,,,,,,437.1,9.3,165,,,,,,,,,,"Muusse, 2011. Phenotypic characteristics and moult commencement in breeding Dutch Herring gulls and Lesser black backed gulls"
HG,adult,female,,,,,,,,,,414.8,7.8,137,,,,,,,,,,"Muusse, 2011. Phenotypic characteristics and moult commencement in breeding Dutch Herring gulls and Lesser black backed gulls"
HG,adult,male,,,,20,0.9,98,54.5,2.3,98,414.5,12.7,98,966,85.9,98,170.5,6.1,98,58.9,2.5,98,"Threlfall and Lewer, 1978. Notes on the Standard Body Measurements of Two Populations of Herring Gulls (Larus argentatus)"
HG,adult,female,,,,18.2,0.9,108,50.6,2.6,108,396.1,10.3,108,795,78.9,108,163,5.8,108,54.7,2.5,108,"Threlfall and Lewer, 1978. Notes on the Standard Body Measurements of Two Populations of Herring Gulls (Larus argentatus)"
HG,adult,male,,,,,,,53.2,3,24,425,15.99,23,,,,170,6.3,25,65.2,3,25,"Cramp, 1985. The Birds of the Western Palearctic. Vol. III. Oxford University Press, Oxford."
HG,adult,female,,,,,,,48.9,2.3,30,404,8.46,26,,,,160,5.3,29,60.5,2,30,"Cramp, 1985. The Birds of the Western Palearctic. Vol. III. Oxford University Press, Oxford."
HG,adult,male,,,,,,,55.1,3,12,451,8,11,,,,179,5.3,12,67.7,2,12,"Cramp, 1985. The Birds of the Western Palearctic. Vol. III. Oxford University Press, Oxford."
HG,adult,female,,,,,,,51.7,2.7,10,423,8.5,10,,,,165,6,9,63,1.7,9,"Cramp, 1985. The Birds of the Western Palearctic. Vol. III. Oxford University Press, Oxford."
KI,adult,male,91.4,1.5,24,,,24,,,,312.1,4.7,24,410,28,24,,,,,,,"Coulson, 1983. The use of head and bill length to sex live gulls Laridae"
KI,adult,female,85.8,1.7,21,,,21,,,,302.6,6.7,21,366,24.2,21,,,,,,,"Coulson, 1983. The use of head and bill length to sex live gulls Laridae"
KI,adult,unknown,,,,,,,36.2,2.2,33,314.4,7.5,33,356,30,33,,,,,,,"Smith, 1988. Age and sex-related differences in biometrics and moult of Kittiwakes"
KI,non-adult,unknown,,,,,,,36.7,2.3,9,314.4,9.8,9,357,21,9,,,,,,,"Smith, 1988. Age and sex-related differences in biometrics and moult of Kittiwakes"
KI,non-adult,unknown,,,,,,,32.6,2,5,299.4,7.2,5,320,42,5,,,,,,,"Smith, 1988. Age and sex-related differences in biometrics and moult of Kittiwakes"
KI,adult,male,91.9,2.4,20,,,,,,,,,,,,,,,,,,,"Mcgowan and Zonfrillo, 2011. Pitfalls in sexing kittiwakes Rissa tridactyla on head + bill length"
KI,adult,female,88.9,2.8,19,,,,,,,,,,,,,,,,,,,"Mcgowan and Zonfrillo, 2011. Pitfalls in sexing kittiwakes Rissa tridactyla on head + bill length"
KI,adult,male,91.4,1.5,24,,,,,,,312.1,4.7,24,410,28,24,,,,,,,"Cramp and Simmons, 1983. The Birds of the Western Palearctic, Volume 3: Waders to Gulls"
KI,adult,female,85.8,1.7,21,,,,,,,302.6,6.7,21,366,24.2,21,,,,,,,"Cramp and Simmons, 1983. The Birds of the Western Palearctic, Volume 3: Waders to Gulls"
KI,adult,male,94.5,1.7,34,,,,37.3,1.1,34,324.3,7.6,34,411,33.5,34,,,,,,,"Barrett, 1985. Measurements and weight changes of norwegian adult puffins fratercula arctica and kittiwakes rissa tri dactyl a during the breeding season"
KI,adult,female,89.2,1.8,36,,,,35,0.9,36,313.4,28.6,36,361,28.6,36,,,,,,,"Barrett, 1985. Measurements and weight changes of norwegian adult puffins fratercula arctica and kittiwakes rissa tri dactyl a during the breeding season"
KI,adult,unknown,,,,,,,36,0.8,114,316.3,3.5,114,,,,,,,,,,"Barrett, 1985. Measurements and weight changes of norwegian adult puffins fratercula arctica and kittiwakes rissa tri dactyl a during the breeding season"
KI,adult,unknown,90.2,1.3,28,,,,35.6,0.8,28,318.1,4,28,,,,,,,,,,"Barrett, 1985. Measurements and weight changes of norwegian adult puffins fratercula arctica and kittiwakes rissa tri dactyl a during the breeding season"
KI,adult,unknown,90.6,2.1,57,,,,35.7,1,57,317.2,4,57,,,,,,,,,,"Barrett, 1985. Measurements and weight changes of norwegian adult puffins fratercula arctica and kittiwakes rissa tri dactyl a during the breeding season"
KI,adult,unknown,90,1.8,309,,,,36,0.9,309,318.2,4.5,309,,,,,,,,,,"Barrett, 1985. Measurements and weight changes of norwegian adult puffins fratercula arctica and kittiwakes rissa tri dactyl a during the breeding season"
KI,adult,unknown,92,1.6,114,,,,36.1,1.1,114,321.6,3.5,114,,,,,,,,,,"Barrett, 1985. Measurements and weight changes of norwegian adult puffins fratercula arctica and kittiwakes rissa tri dactyl a during the breeding season"
KI,adult,male,,,,,,,38,,23,316.2,,23,,,,,,,34.3,,23,"Sluys, 1982. Geographical variation of the Kittiwake"
KI,adult,female,,,,,,,36.2,,28,305.4,,28,,,,,,,32.8,,28,"Sluys, 1982. Geographical variation of the Kittiwake"
KI,adult,male,91.9,1.8,27,,,,,,,317.1,8.5,95,380,34.7,94,,,,37.5,2.4,87,"Helfenstein , 2004a. Assortative mating and sexual size dimorphism in Black-legged Kittiwakes"
KI,adult,female,87.6,14.5,34,,,,,,,308.1,5.6,123,341,28.3,121,,,,36.2,2.2,111,"Helfenstein , 2004a. Assortative mating and sexual size dimorphism in Black-legged Kittiwakes"
KI,adult,male,,,,,,,34.2,1.57,23,311,9.25,20,,,,127,2,22,34.2,0.99,23,"Cramp, 1985. The Birds of the Western Palearctic. Vol. III. Oxford University Press, Oxford."
KI,adult,female,,,,,,,32.9,0.85,24,307,8.66,21,,,,122,4.01,22,32.9,0.85,24,"Cramp, 1985. The Birds of the Western Palearctic. Vol. III. Oxford University Press, Oxford."
LB,adult,male,120.8,2.9,56,18.2,0.8,56,,,,429.4,9.7,56,882,63.8,56,,,,,,,"Coulson, 1983. The use of head and bill length to sex live gulls Laridae"
LB,adult,female,109.5,3,65,16.4,0.6,65,,,,410.6,8.1,65,745,53.2,65,,,,,,,"Coulson, 1983. The use of head and bill length to sex live gulls Laridae"
LB,adult,male,,,,17.4,0.6,30,55.6,2.3,30,430,6.6,26,880,61,22,163,4.5,19,65,2.9,26,"Harris, 1969. Sexual differences in measurements of Herring and Lesser Blacked Gulls"
LB,adult,female,,,,15.9,0.9,30,50,2.2,50,409,9.7,35,755,58,31,154,6,30,60,3,33,"Harris, 1969. Sexual differences in measurements of Herring and Lesser Blacked Gulls"
LB,adult,female,,,,16.1,0.7,91,48.9,3.1,93,406.9,9.2,88,,,,,,,69.8,2.9,94,"Sibley, 1987. The use of body dimensions of Lesser black-backed gulls Larus fuscus to indicate size and to estimate body reserves"
LB,adult,male,,,,,,,,,,437.9,8.7,460,,,,,,,,,,"Muusse, 2011. Phenotypic characteristics and moult commencement in breeding Dutch Herring gulls and Lesser black backed gulls"
LB,adult,female,,,,,,,,,,414.9,8.1,535,,,,,,,,,,"Muusse, 2011. Phenotypic characteristics and moult commencement in breeding Dutch Herring gulls and Lesser black backed gulls"
LB,adult,male,120.4,2.5,130,18.1,0.7,130,,,,,,,,,,,,,66.3,2,130,"Hallgrimsson, 2016. Sexing adult and fledgling Lesser Black-backed Gulls from morphometrics"
LB,adult,female,110.9,2.4,92,16.3,0.5,92,,,,,,,,,,,,,61.3,2,92,"Hallgrimsson, 2016. Sexing adult and fledgling Lesser Black-backed Gulls from morphometrics"
LB,non-adult,male,110.4,5.7,20,13.7,1,20,,,,,,,,,,,,,66.6,2.6,20,"Hallgrimsson, 2016. Sexing adult and fledgling Lesser Black-backed Gulls from morphometrics"
LB,non-adult,female,103.7,3.1,27,12.7,0.6,27,,,,,,,,,,,,,61.9,2.1,27,"Hallgrimsson, 2016. Sexing adult and fledgling Lesser Black-backed Gulls from morphometrics"
LB,adult,male,,,,,,,51.5,2,28,439,9,27,,,,158,5.28,28,62.1,2,27,"Cramp, 1985. The Birds of the Western Palearctic. Vol. III. Oxford University Press, Oxford."
LB,adult,female,,,,,,,46.2,1.93,42,409,10.99,40,,,,147,6,42,58,1.99,44,"Cramp, 1985. The Birds of the Western Palearctic. Vol. III. Oxford University Press, Oxford."
LB,adult,male,,,,,,,52.1,1.5,54,433,9.4,54,,,,155,4.2,52,63.4,1.6,49,"Cramp, 1985. The Birds of the Western Palearctic. Vol. III. Oxford University Press, Oxford."
LB,adult,female,,,,,,,47.5,1.6,71,412,8.4,71,,,,148,4.9,64,58.8,1.8,64,"Cramp, 1985. The Birds of the Western Palearctic. Vol. III. Oxford University Press, Oxford."
GU,adult,female,109.6,3.1,66,12.4,0.85,115,45.7,2.25,115,198.1,6.52,112,,,,,,,,,,"Stratford and Partridge, 1996. An analysis of biometrics of oil contaminated Common Guillemots Uria aalge in south-west Britain 1980-1994"
GU,adult,male,113.1,4.19,32,12.9,0.89,60,47.4,2.58,60,197.3,6.32,57,,,,,,,,,,"Stratford and Partridge, 1996. An analysis of biometrics of oil contaminated Common Guillemots Uria aalge in south-west Britain 1980-1994"
GU,non-adult,female,110.2,3.32,53,11.7,0.57,100,45.6,2.48,100,194.4,6.28,100,,,,,,,,,,"Stratford and Partridge, 1996. An analysis of biometrics of oil contaminated Common Guillemots Uria aalge in south-west Britain 1980-1994"
GU,non-adult,male,112.6,4.15,51,12.2,0.64,108,47.4,2.49,109,192.4,5.72,108,,,,,,,,,,"Stratford and Partridge, 1996. An analysis of biometrics of oil contaminated Common Guillemots Uria aalge in south-west Britain 1980-1994"
GU,adult,male,116.65,4.1,19,12.93,0.87,19,48.23,3.09,19,203.6,5.23,19,,,,,,,39.08,1.87,19,"De Pooter, 2010. Comparative study of the diet of Common Guillemots Uria aalge and Razorbills Alca torda, collected during beached bird surveys along the Belgian coast between 2002 and 2010"
GU,adult,female,112.49,2.84,17,12.38,0.58,17,46.21,1.9,17,202,5.15,17,,,,,,,38.06,1.94,17,"De Pooter, 2010. Comparative study of the diet of Common Guillemots Uria aalge and Razorbills Alca torda, collected during beached bird surveys along the Belgian coast between 2002 and 2010"
GU,adult,male,,,,,,,,,,199.8,5.1,142,,,,,,,,,,"Harris, Wanless, 1988. Measurements  and seasonal  changes  in weight of Guillemots Uria aalge at a breeding colony"
GU,adult,female,,,,,,,,,,201.8,5.1,128,,,,,,,,,,"Harris, Wanless, 1988. Measurements  and seasonal  changes  in weight of Guillemots Uria aalge at a breeding colony"
GU,adult,male,,,,13.2,0.4,11,46.7,2.7,11,197.2,2.9,11,,,,,,,,,,"Birkhead, 1976. Measurements and seasonal changes in weight of guillemots Uria aalge at a breeding colony"
GU,adult,female,,,,12.7,0.6,14,45.4,1.5,14,195.6,5.1,13,,,,,,,,,,"Birkhead, 1976. Measurements and seasonal changes in weight of guillemots Uria aalge at a breeding colony"
GU,unknown,male,,,,13.2,0.47,16,47.7,2.14,13,204,,16,,,,45,2.9,11,38.4,1.09,16,"Cramp, 1985. The Birds of the Western Palearctic. Vol. IV. Oxford University Press, Oxford."
GU,unknown,female,,,,12.8,0.51,19,46,2.14,20,206,,20,,,,46.6,4.08,7,38.2,1.38,20,"Cramp, 1985. The Birds of the Western Palearctic. Vol. IV. Oxford University Press, Oxford."
GU,unknown,male,,,,12.9,0.54,8,47,1.83,8,196,4.6,8,,,,43.6,2.21,11,37.4,0.52,8,"Cramp, 1985. The Birds of the Western Palearctic. Vol. IV. Oxford University Press, Oxford."
GU,unknown,female,,,,12.7,0.67,7,46.3,1.63,6,195,3.9,6,,,,44.7,4.06,9,37.4,0.79,7,"Cramp, 1985. The Birds of the Western Palearctic. Vol. IV. Oxford University Press, Oxford."
GU,unknown,male,,,,13.9,0.4,12,49.4,1.79,12,212,3.5,11,,,,48.5,3.21,10,41.4,0.95,12,"Cramp, 1985. The Birds of the Western Palearctic. Vol. IV. Oxford University Press, Oxford."
GU,unknown,female,,,,13.5,0.61,10,46.6,2.13,10,216,4.6,10,,,,48.7,2.35,9,40.9,1,10,"Cramp, 1985. The Birds of the Western Palearctic. Vol. IV. Oxford University Press, Oxford."
GU,adult,unknown,,,,,,,,,,205.2,5.2,514,,,,,,,,,,"Knox, 2012. The subspecies of Guillemot on the British List"
GU,adult,unknown,,,,,,,,,,205.7,6.2,1041,,,,,,,,,,"Knox, 2012. The subspecies of Guillemot on the British List"
GU,adult,unknown,,,,,,,,,,203.2,5.8,332,,,,,,,,,,"Knox, 2012. The subspecies of Guillemot on the British List"
GU,adult,male,114.9,2.6,34,12.82,0.66,65,49.6,2.1,61,206.4,4,68,,,,,,,,,,"Ankor-Nilssen, 1981. Age, sex and origins of auks (Alcidae) killed in the Skagerrak oiling incident of January 1981"
GU,non-adult,male,112.8,3.7,170,11.86,0.61,305,48,2.6,296,200.1,4.8,323,,,,,,,,,,"Ankor-Nilssen, 1981. Age, sex and origins of auks (Alcidae) killed in the Skagerrak oiling incident of January 1981"
GU,adult,female,112.1,3.2,32,12.66,0.64,71,47.6,2.4,68,208.4,5.3,73,,,,,,,,,,"Ankor-Nilssen, 1981. Age, sex and origins of auks (Alcidae) killed in the Skagerrak oiling incident of January 1981"
GU,non-adult,female,110.2,3.1,141,11.54,0.58,319,46.1,2.4,306,200.4,4.5,334,,,,,,,,,,"Ankor-Nilssen, 1981. Age, sex and origins of auks (Alcidae) killed in the Skagerrak oiling incident of January 1981"
GU,adult,unknown,,,,13.5,0.66,67,47.1,2.31,66,207.3,4,38,,,,,,,,,,"Ankor-Nilssen, 1981. Age, sex and origins of auks (Alcidae) killed in the Skagerrak oiling incident of January 1981"
GU,adult,unknown,,,,13.3,0.7,67,48.6,2.07,65,207.3,4,65,,,,,,,,,,"Ankor-Nilssen, 1981. Age, sex and origins of auks (Alcidae) killed in the Skagerrak oiling incident of January 1981"
GU,adult,unknown,,,,13.5,0.64,98,46.5,2.39,98,206.3,4,91,,,,,,,,,,"Jones, 1988a. The European cline in wing-length of Guillemots Uria aalge - from: Barratt, 2008. Biometrics as a determinant of the origins of seabirds killed in oil spills and other incidents"
GU,adult,unknown,,,,,,,46.6,2.55,37,203.9,4.8,91,,,,,,,,,,"Ankor-Nilssen, 1981. Age, sex and origins of auks (Alcidae) killed in the Skagerrak oiling incident of January 1981"
GU,adult,unknown,,,,,,,,,,203.3,4,27,,,,,,,,,,"Ankor-Nilssen, 1981. Age, sex and origins of auks (Alcidae) killed in the Skagerrak oiling incident of January 1981"
GU,adult,unknown,,,,,,,,,,200,4.8,83,,,,,,,,,,"Ankor-Nilssen, 1981. Age, sex and origins of auks (Alcidae) killed in the Skagerrak oiling incident of January 1981"
GU,adult,unknown,,,,13,0.6,35,45.3,2.06,35,199.5,3.7,35,,,,,,,,,,"Jones, 1988a. The European cline in wing-length of Guillemots Uria aalge - from: Barratt, 2008. Biometrics as a determinant of the origins of seabirds killed in oil spills and other incidents"
GU,adult,unknown,,,,13.1,0.64,84,,,,197.6,4.7,84,,,,,,,,,,"Ankor-Nilssen, 1981. Age, sex and origins of auks (Alcidae) killed in the Skagerrak oiling incident of January 1981"
GU,adult,unknown,,,,14.1,0.6,96,47,3.1,95,213,5.7,256,,,,,,,,,,"Ankor-Nilssen, 1981. Age, sex and origins of auks (Alcidae) killed in the Skagerrak oiling incident of January 1981"
GU,adult,unknown,,,,13.5,0.58,45,45.2,2.15,45,209.6,5.2,63,,,,,,,,,,"Ankor-Nilssen, 1981. Age, sex and origins of auks (Alcidae) killed in the Skagerrak oiling incident of January 1981"
GU,adult,unknown,,,,13.3,0.51,61,45.6,2.15,45,207.1,3.5,93,,,,,,,,,,"Ankor-Nilssen, 1981. Age, sex and origins of auks (Alcidae) killed in the Skagerrak oiling incident of January 1981"
GU,adult,unknown,,,,,,,,,,198.5,4.9,150,,,,,,,,,,"Ankor-Nilssen, 1981. Age, sex and origins of auks (Alcidae) killed in the Skagerrak oiling incident of January 1981"
GU,adult,unknown,,,,14.1,0.6,46,45.5,2.08,46,201.2,4.4,46,,,,,,,,,,"Jones, 1978. Origins, age and sex of auks (Alcidae) killed in the 'Amoco Cadiz' oiling incident in Brittany, March 1978"
GU,unknown,male,,,,,,,,,,195.9,5.04,64,,,,,,,,,,"Jones, 1978. Origins, age and sex of auks (Alcidae) killed in the 'Amoco Cadiz' oiling incident in Brittany, March 1978"
GU,unknown,female,,,,,,,,,,197.1,6.61,59,,,,,,,,,,"Jones, 1978. Origins, age and sex of auks (Alcidae) killed in the 'Amoco Cadiz' oiling incident in Brittany, March 1978"
